연번,지적사항,주요내용(요약),처분요구
1,"수익용기본재산(골프회원권) 관할청 미허가 처분 ◦ 사립학교법」제28조 제1항에 따르면 학교법인이 그 기본재산을 매도·증여·교환 또는 용도변경하거나 담보에 제공하고자 할 때 또는 의무의 부담이나 권리의 포기를 하고자 할 때에는 관할청의 허가를 받아야 한다고 되어 있는데도, - 학교법인 경동대학교는 2020. 8. 24. 교육부 허가 없이 수익용기본재산인","- 학교법인 경동대학교는 2020. 8. 24. 교육부 허가 없이 수익용기본재산인 ○○ 골프회원권 (회원번호 ***- ****, ***- ****) 을 750,000천원에 매각 * 하는 등【붙임】“수익용기본 재산 (골프회원권) 관할청 미허가 처분 현황”과 같이 2020. 8. 24. 교육부 허가 없이 수익용기본재산인 골프 회원권 2건을 합계 960,000천원에 매각한","* 매수자 : □□(대표 A, B) ※ 법인에서 2019. 9. 19. 교육부에 이 건 골프회원권 처분허가 신청을 하였으나, 2019. 10. 11. 감정평가서 미제출 등의 사유로 반려됨 <고등교육정책실 별도조치 예정>(1명) (27번에 포함조치); 경고(1명) 【붙임】 수익용기본재산(골프회원권) 관할청 미허가 처분 현황 (단위 : 천원) 연번 계약체결일 회원권명 (회원번호) 매각금액 계약상대자 (대표자) 1 2020.8.24.; ; (***-****, ***-****) 750,000 □□ (A, B) 2 2020.8.24. - 210,000 - 합 계 960,000 감사결과 처분서 기관명 : 학교법인 경동대학교"
2,"수익용기본재산 임대 부적정 ◦ 사립학교법」제2조 제2호, 제5조 제1항, 제6조 제1항에 따르면 ""학교법인""이란 사립학교만을 설치·경영할 목적 으로 이 법에 따라 설립되는 법인을 말하고, 학교법인은 그가 설치․경영하는 사립학교에 필요한 시설․설비와 당해 학교의 경영에 필요한 재산을 갖추어야 하며, 학교법인은 그가 설치한 사립학교의 교육에 지장이 없는 범위안에서 그 수익을 사립학교의 경영에 충당 하기 위하여 수익을 목적으로 하는 사업을 할 수 있고, 사학기관 재무․회계 규칙」제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니된다고 되어 있는데도,","- 학교법인 경동대학교와 경동대학교는 2016. 12. 2. 법인 수익용기본재산(건물)인 서울특별시 중구 태평로2가 소재 △△ 빌딩에 대학간판을 설치*하는 임대차 계약을 체결하고, 2017. 3. 31. 월 임대료 40,000천원을 교비회계 (등록금회계)에서 법인회계(수익사업회계)로 지급하는 등 【 붙임 1 】 “법인 수익용기본재산(건물) 대학간판 임대료 징수 현황”과 같이 2017. 3.부터 2020. 8.까지 법인 수익용 기본재산(건물) 2개동에 대학간판을 설치하는 임대차 계약을 체결하고 84차례에 걸쳐 임대료 합계 2,712,000천원을 교비회계에서 법인회계로...","【붙임 1】 법인 수익용기본재산(건물) 대학간판 임대료 징수 현황 (단위 : 천원) ※ 1. 건물 소재지 명칭 주소 △△빌딩 서울특별시 중구 태평로2가 소재 - 서울특별시 동작구 노량진동 소재 2. 대학간판 현황 위치 크기 △△빌딩 외벽 ① 16m×1.6m ②17m×1.6m ③1.7m×7m ④1.7m×5.5m ⑤1.0m×3m - 외벽 10.8m×0.85m 연번 세입일 세입액 간판설치건물 내역 계약일 1 2017.3.31. 40,000 △△빌딩 대학 간판(홍보) 임대료 2016.12.2. 2 2017.3.31. 20,000 - 대학 간판(홍보) 임대료 - 3 2017.4.28. 40,000 △△빌딩 대학 간판(홍보) 임대료 - 4 2017.4.28. 20,000 - 대학 간판(홍보) 임대료 - 5 2017.5.31. 40,000 △△빌딩 대학…"
3,"수익용기본재산 임대료 산정 부적정 ◦ 사학기관 재무․회계 규칙」제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니되고, 사학기관 재무․회계 규칙에 대한 특례규칙」제15조 제2호에 따르면 회계처리는 신뢰할 수 있도록 객관적인 자료와 증거에 의하여 공정하게 처리하여야 한다고 되어 있는데도, - 학교법인 경동대학교 C는 2015. 10. 21. 법인 수익용기본 재산(건물)인 ▷▷ (서울특별시 종로구 필운대로 소재) 401호 (전용면적 244 ㎡ ) 에 대해 감정평가 등 객관적인 근거에 의하지 아니하고 임의로 보증금을 산정 (6 억원) 하여 C와 임대차계약 (전세) 을 체결하고 거주하는 등",- 학교법인 경동대학교 C는 2015. 10. 21. 법인 수익용기본 재산(건물)인 ▷▷ (서울특별시 종로구 필운대로 소재) 401호 (전용면적 244 ㎡ ) 에 대해 감정평가 등 객관적인 근거에 의하지 아니하고 임의로 보증금을 산정 (6 억원) 하여 C와 임대차계약 (전세) 을 체결하고 거주하는 등 【 붙임 】 “법인 수익용기본재산 ( ▷▷ 건물) C 임대 현황”과 같이 2015. 10.부터 2020. 9. 감사일 현재까지 법인 수익용기본 재산(건물)인 ▷▷ 401호에 대해 감정평가 등 객관적인 근거에 의하지 아니하고 임의로 보증금을 산정 (6 ~ 11억원) 하여...,"※ 1. 2019. 8. 감정평가액(매각기준) 1,205,000천원 2. 연도별 공시가격 (단위 : 천원) 연도 2015 2016 2017 2018 2019 2020 공시가격 704,000 760,000 800,000 840,000 896,000 917,000; 경고(1명); 통보 - C가 임차하여 사용 중인 수익용기본 재산(건물)에 대해 감정평가 등을 통한 적정 임대료를 산정 하고, 그 결과에 따라 임대차 계약을 체결하기 바람 【붙임】 법인 수익용기본재산 건물 (▷▷) C 임대 현황 (단위 : 천원) 연번 계약일 임대기간 임대보증금 계약물건 비고 1 2015.10.21. 2015.10.21. ~ 2017.10.20. (2년) 600,000 서울특별시 종로구 필운대로 소재 ▷▷ 401호 (전용면적 244㎡, 공유면적 169㎡) 재계약 2 2…"
4,"부속유치원 예·결산 미심의 및 원장급여 지급 부당 ◦ 사립학교법 제2조, 제16조 및 제29조 제1항에 따르면 사립학교란 학교법인, 공공단체 외의 그 밖의 사인(私人)이 설치 하는 유아교육법 제2조 제2호, 초·중등교육법 제2조 및 고등교육법 제2조에 따른 학교를 말하고, 이사회는 학교법인의 예산·결산·차입금 및 재산의 취득· 처분과 관리에 관한 사항을 심의·의결하여야 하며, 사학기관 재무·회계 규칙」제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하고, 경동 대학교 정관 제48조에는 교원의 보수는 자격과 경력을 고려한 기본급에 성과급을 합산하는 성과연봉으로 하되 이사회의 의결을 거쳐 따로 규칙으로 정한다고 되어 있는데도, - 학교법인 경동대학교는 학교법인이 설립한 경동대학교 부속유치원에 대한 예·결산 관한 사항을 유치원 설립 (1999. 8. 27) 이후 2020. 1.까지 심의·의결하지 않았고, ․ 특히, 2012. 3. 8. 학교법인 이사회에서 경동대학교 D (C 며느리, R의 배우자, 2020. 2. 퇴직) 를 경동대학교 부속 유치원 원장으로 겸직하게 하고 유치원회계에서 월 보수 340만원을 지급하기로 심의·의결하였음에도, 경동대학교 D는 2017. 3.부터 2018. 2.까지 위 학교법인 이사회에서 심의 의결한 것과 달리 부속유치원장 보수를 월 610 만원으로 책정하여 유치원회계에서 집행하고 수령하는 등","- 학교법인 경동대학교는 학교법인이 설립한 경동대학교 부속유치원에 대한 예·결산 관한 사항을 유치원 설립 (1999. 8. 27) 이후 2020. 1.까지 심의·의결하지 않았고, ․ 특히, 2012. 3. 8. 학교법인 이사회에서 경동대학교 D (C 며느리, R의 배우자, 2020. 2. 퇴직) 를 경동대학교 부속 유치원 원장으로 겸직하게 하고 유치원회계에서 월 보수 340만원을 지급하기로 심의·의결하였음에도, 경동대학교 D는 2017. 3.부터 2018. 2.까지 위 학교법인 이사회에서 심의 의결한 것과 달리 부속유치원장 보수를 월 610 만원으로 책정하여 유치원회...","※ 위 D는 2017. 3. 20. 부속유치원 원장 명의로 자신의 2017년 연봉을 7,320천원(월 610만원)으로 책정하여 학교법인 C에게만 보고 ※ 위 D는 2017. 3.부터 2018. 2.까지 교비회계에서 교원급여 명목으로 월 454만원∼월 505만원 별도지급 ※ 2018. 3.부터 감사일 현재까지 경동대학교 부속유치원 원장인 E, F 등에게는 월 200만원∼월 300만원만 지급 【 붙임 】 부속유치원(회계) 보수 초과 지급 현황 (단위 : 만원) 연번 지급일 수령자 실제지급 (A) 이사회심의·의 결(B) 초과 지급액 (A-B) 1 2017.3.24. D (부속 유치원 원장 겸직) 610 340 270 2 2017.4.25. 610 340 270 3 2017.5.25. 610 340 270 4 2017.6.23 610 340 270…"
5,"법인회계 집행 부적정 ◦ 사학기관 재무․회계 규칙 제4조 및 제21조 제1항에 따르면 법인의 재무와 회계는 건전하게 운영하여야 하고, 법인에 속하는 회계의 세출예산은 목적 외에 사용 하지 못하도록 되어 있으며, 사학기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호 및 제17조 관련","- 학교법인 경동대학교는 2018. 12. 24. 법인 직원 G가 업무용 차량 (*** ****) 운행 중 속도위반으로 부과 받은 과태료 32,000원을 법인회계에서 집행하는 등【붙임1】 “과태료 법인회계 납부 현황”과 같이 2018. 12. 12.부터 2019. 1. 25.까지 위 법인 직원 G 등 2명이 업무용 차량 운행 중 교통법규 위반으로 부과받은 과태료 등 총 3건, 합계 304,000원을 법인회계에서 집행한 사실이 있음 - 또한, 학교법인 경동대학교는 2017. 7. 12. C의 지시 만으로 업무관련성이 없는 H의 축의금 500,000원을 업무추진비 과목에...","경고(2명); 시정(회수) - 법인회계에서 납부 한 교통법규 위반 등 과태료 304,000 원 , 경 조 사 비 700,000 원 합계 1,004,000 원을 관련자들로 부터 회수하여 법인회계에 세입 조치하기 바람 【 붙임1 】 과태료 법인회계 납부 현황 ( 단위 : 원 ) 【 붙임2 】 개인 경조사비 법인회계 집행 현황 ( 단위 : 원 ) 연 번 차량번호 (차종) 운전자 위반내용 위반 일자 납부일자 납부액 소속 성명 1 *** **** (-) 법인사무처 G 속도위반 2018.12.12. 2018.12.24. 32,000 2 2019.1.7. 2018.12.24. 32,000 3 - - - 정기검사지연 및 미필 - 2019.1.25. 240,000 합계 304,000 연 번 지급일자 지급 건명 지급대상 지급액 지급방법 소속 직위(급) 성명…"
6,전임교원 채용 심사위원 임명 부적정 ◦,"- 경동대학교는 2018학년도 1학기 치기공학과 전임교원 신규채용 시 지원자 I가 연구실적으로 제출한 논문 (ㄱ, ▽▽) 의 공동저자인 경동대학교 J를 기초 및 전공 심사위원으로 임명하여 전임교원 채용심사 업무를 담당하게 하는 등【붙임】“논문 공동저자 전임교원 신규채용 심사위원 임명 현황”과 같이 2018학년도 1 학기부터 2020학년도 1학기까지 지원자 위 I 등 5명이 연구실적으로 제출한 논문의 공동저자 5명을 교원 신규채용 기초 및 전공심사위원으로 임명한","기관경고; 경고(9명); 통보 - 교원채용 과정에서 논문공동저자 등이 심 사 위 원 으 로 참 여 하 는 사례가 발생 하지 않도록 관련 규 정 등 을 정비 하 기 바람 【 붙임 】 논문 공동저자 전임교원 신규채용 심사위원 임명 현황 연 번 지원 시기 지원 학과 전공 분야 지원자 (합불) 심사 단계 연구실적물 제출내역 논문 공동저자 중 심사위원 위촉 현황 논문명 (출판학회, 일시) 논문 공동 저자 소속 직급 성명 1 2018 -1 치기 공학 과 치의학 I (합) 기초 전공 심사 ㄱ (▽▽, 2017.9) I - - J (4명) - - J (-) 2 2018 -1 작업 치료 학과 보건학 - (불) 기초 전공 심사 - - - - - - - - - - - 3 2020 -1 치위 생학 과 보건학 - (불) 기초 전공 심사 - - - - - - - 4…"
7,교직원 채용 면접심사 K 관여 부당 ◦,"- 경동대학교 K (R의 부) 는 2020학년도 1학기 전임교원 교수초빙 면접위원으로 위촉받은 바가 없음에도 2020. 2. 20. 간호학과 등 3개 학과 교수초빙 면접심사장 (문막캠퍼스 총장실) 에 L, M과 나란히 면접위원석에 앉아 지원자들에게 본교 지원 이유, 교수로서의 가치관 및 교육이념, 학생 취업지원 방안, 희망하는 연봉액, 경동 대학교 설립이념, 임용될 경우 출근 방법 등에 대한 ◦중징계(1명) ◦경징계(2명) ◦경고(3명) <별도조치> ◦수사의뢰 연 번 지 적 사 항 처 분 질문을 하고 심사위원에게 지원자에 대한 자신의 의견을 제시하는 방법으로 전임교원...","※ 경동대학교 교직원 채용절차 ․교원 : 기초·전공심사(250점 중 150점 이상 합격) → 공개강의 (50점 중 25점 이상 합격) → 면접심사(이전 심사자료는 참고로만 활용, 100점 만점 중 80점 이상 득점자 중 최고득점자를 합격자 선정) ․직원 : 서류전형 → 면접심사 【 붙임 】 K 의 교직원 면접심사 참여 현황 ① 교원 신규채용 ② 직원 신규채용 ※ 계약직 : 1년 단위 계약(최대 2년) 연번 연도 건명 면접심사 합격자 비고 1 2020 2020-1 교수초빙 (간호학과 등 3개학과) 2020.02.20 - 2 2020 2020-1 교수초빙 (산학협력중점교수) 2020.02.18 - 3 2020 2020-1 교수초빙 (컴퓨터공학과) 2020.01.30 - 4 2020 2020-1 교수초빙 (간호학과 등 2개학과) 2020.01.2…"
8,"대학발전위원장 보직수당 지급 부당 ◦ 사학기관 재무·회계 규칙 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며 사학 기관 재무·회계 규칙에 대한 특례규칙 제15조에 따르면 회계처리는 신뢰할 수 있도록 객관적인 자료와 증거에 의하여 공정하게 처리하여야 하고, 경동대학교 대학 발전위원회 규정 제2조, 제3조 및 제8조에 따르면 대학 발전위원회는 경동대학교의 건학이념과 대학발전에 공헌할 수 있는 학내·외 전문인사로 구성하고, 위원장은 위원회 업무를 총괄하고 행정부서 및 제 위원회 등에 대학발전을 위한 의견을 제시할 수 있으며, 위원 중 1~2인은 상근으로 할 수 있으며 상근위원은 총장이 위촉 또는 임명하고 상근하는 위원에게는 매월 일정액의 수당, 연구활동비 등을 지급할 수 있다고 되어 있는데도, - 경동대학교는 2018. 6. 20. ‘2018년 대학 기본역량 진단’ 결과 역량강화대학으로 발표되자, 3주기 대학 기본역량 진단을 선제적으로 준비한다는 명분으로 2018. 8. 23. 대학발전위원회 상근위원장으로 K (R의 부) 를 위촉 (임기: 2018.9.1.~2020.8.31.) 하고도, 위 K에 대한 출·퇴근 및 출장 등의 근무상황을 전혀 관리하지 않은 사실이 있으며, ․그 결과, 2018. 9. 5. 발전위원회 위원 면담을 위한 고성 캠퍼스 방문 등 2018. 9. 업무 관련 학교출근 횟수가 4회 (발전위원회 회의 2회 포함) 에 불과한데도 2018. 9. 20. 위원장 보직수당 3,500,000원을 지급하는 등","- 경동대학교는 2018. 6. 20. ‘2018년 대학 기본역량 진단’ 결과 역량강화대학으로 발표되자, 3주기 대학 기본역량 진단을 선제적으로 준비한다는 명분으로 2018. 8. 23. 대학발전위원회 상근위원장으로 K (R의 부) 를 위촉 (임기: 2018.9.1.~2020.8.31.) 하고도, 위 K에 대한 출·퇴근 및 출장 등의 근무상황을 전혀 관리하지 않은 사실이 있으며, ․그 결과, 2018. 9. 5. 발전위원회 위원 면담을 위한 고성 캠퍼스 방문 등 2018. 9. 업무 관련 학교출근 횟수가 4회 (발전위원회 회의 2회 포함) 에 불과한데도 2018. 9...","※ 매월 3,500천원으로 지급하던 보직수당을 2019.5.21. 5,500 천원으로 증액하였으나, 교육부 사립대학 종합감사 계획 발표 (2019. 6. 경동대 포함) 이후 6월부터 3,500천원으로 감액 【붙임】 대학발전위원장 업무수행 및 학교방문 현황 년도 일자 요일 내 역 캠퍼스 2018 2018 05 수 발전위원회 위원 면담 고성 2018 2018 06 목 - 양주 2018 2018 17 월 - 양주 2018 2018 28 금 - 양주 2018 2018 05 금 - 고성 2018 2018 10 수 - 양주 2018 2018 19 금 - 고성 2018 2018 26 금 - 양주 2018 2018 09 금 - 양주 2018 2018 23 금 - 고성 2018 2018 13 목 - 양주 2018 2019 03 목 - 양주 2019 2019…"
9,"대학발전위원장 업무추진비 집행 부적정 ◦ ｢ 사학기관 재무·회계 규칙 ｣ 제4조, 제21조 및 제32조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영 하여야 하며 학교에 속하는 회계의 세출예산은 이를 목적외에 사용하지 못하고, 지출은 지출명령이 있는 것에 한하여 지출원이 행하며, ｢ 사학기관 재무·회계 규칙에 대한 특례규칙 ｣ 제15조 및 제17조 관련","- 경동대학교 대학발전위원장 K (R의 부) 는 2018. 8. 22. 집행목적, 일시, 장소, 집행대상 등을 기재한 내부품의 없이 경기도 양주 소재 음식점에서 법인카드로 58,000원을 결제하고, 경동대학교는 2018. 9. 18. 카드 회사에서 발송한 이용대금 명세서를 증빙자료로 첨부 하여 결제금액을 집행하는 등 【 붙임 】 “사용목적 등 미명시 발전위원장 업무추진비 집행현황”과 같이 2017. 4.부터 2019. 7.까지 경동대학교 발전위원장 K와 N은 집행목적, 일시, 장소, 집행대상 등을 기재한 내부 품의 없이 식대 등으로 총 138차례 합계 14,287,9...","【 붙임 】 사용목적 등 미명시 발전위원장 업무추진비 집행현황 1. K(임기: 2018.9.1.~2020.8.31.) 연번 카드사용일 시간 금액(원) 상호(가맹점명) 소재지 업종명 집행일 비고 1 2018.08.22 20:03 58,000 - 경기 양주 일반한식 2018.09.18 2 2018.08.27 20:42 70,000 - - 일반한식 2018.09.18 3 2018.08.28 18:14 37,000 - - 일반한식 2018.09.18 4 2018.08.30 19:52 50,000 - - 일반한식 2018.09.18 5 2018.08.31 19:28 22,000 - - 일반한식 2018.09.18 8월 소계 237,000 6 2018.09.04 16:44 18,000 - - 일반한식 2018.10.18 7 2018.09.05 08:2…"
10,"금품 수수( 授受 ) 처리 부당 등 ◦ 사립학교법 제61조 및 제64조에 따르면 사립학교의 교원이 사립학교법과 기타 교육관계법령에 위반하여 교원의 본분에 배치되는 행위를 한 때, 직무상의 의무에 위반하거나 직무를 태만히 한 때, 직무의 내외를 불문 하고 교원으로서의 품위를 손상하는 행위를 한 때에는 당해 교원의 임용권자는 미리 충분한 조사를 한 후 당해 징계사건을 관할하는 교원징계위원회에 그 징계 의결을 요구하여야 하며, 학교법인 경동대학교 정관 제51조 및 제59조에 따르면 교원의 인사에 관한 중요 사항을 심의하게하기 위하여 학교에 교원인사위원회를 두고, 교원이 교육관계법령을 위반하여 교원의 본분에 배치되는 행위를 한 때, 직무상의 의무를 위반하거나 직무를 태만히 한 때, 직무의 내외를 불문하고 교원으 로서의 품위를 손상하는 행위를 한 때에는 징계의결을 한다고 되어 있으며, 부정청탁 및 금품등 수수의 금지에 관한 법률 (이하 “청탁금지법”이라 한다) 제8조 제2항 및 제5항, 제23조 제5항에 따르면 공직자등은 직무와 관련하여 대가성 여부를 불문하고 금품 등을 받거나 요구 또는 약속해서는 아니 되고, 누구든지 공직자등 에게 수수 금지 금품 등을 제공하거나 그 제공의 약속 또는 의사표시를 해서는 아니 되며, 위반한 공직자등에 대해서는 관련된 금품등 가액의 2배이상 5배 이내에 상당하는 금액의 과태료를 부과한다고 되어 있는데도, <","- 경동대학교는 2017. 11. 20. O (‘ㄴ’어린이집 지도교수) 가 ’16. 2.부터 ’17. 5.까지 위탁 운영하는 ‘ㄴ’어린이집 P 로부터 롯데상품권 등 55만원* 상당의 선물을 받은 사실을 확인하여 선물수수(授受)자 징계 조치를 결정 하고 2017. 12. 5. 선물을 준 P에 대해서는 ‘감봉 3월’의 징계처분을 하였으나, 선물을 받은 O에 대해서는 교원 인사위원회 심의 등 징계 절차 없이 ‘경고**’ 처분 (2017. 12. 11.) 한","* 대학 자체조사 선물 수수 현황 연번 일시 수수 내역 상당금액 1 2016. 2. 설날 선물 롯데상품권 200,000 2 2016. 9. 추석 선물 신세계상품권 200,000 3 2017. 5. 스승의 날 선물(떡, 식혜) 150,000 합 계 550,000 ※ 청탁금지법 시행 이후 수수금액 : 350,000원 ** Q와 R은 사안이 가볍다는 자의적 판단하고 교원인사위원회 심의 등 없이 ‘경고’ 처분 후 종결 【청탁금지법상 금지 금품 수수에 관한사항】…… ② - 또한, O는 대학 자체조사에서 확인된 선물 수수건 외에도 2017. 10. 4.경 P로부터 추석 선물 명목의 한우 선물세트 (20만원 상당) 를 받는 등 [표 1]과 같이 2015. 11. 부터 2017. 10.까지 위 O는 P로부터 한우선물세트 등 합계 301천원 상당의 선물을…"
11,"연구년 교원 선정·관리 등 부당 ◦ 경동대학교 2018학년도 연구년 시행 기본계획 (’17.8.24.) 에 따르면 연구년 기간은 2018학년도 2학기로 명시되어 있고, 경동대학교 교수연구년제 규정 제4조, 제5조, 제6조, 제10조 및 제11조에 따르면 연구년을 원하는 교원은 연구년 시작학기의 개강일 6개월 이전에 교수 연구년 허가 신청서를 제출하여야 하고, 기획조정처는 제출된 연구계획서를 기초로 연구의 타당성을 검토하며, 교원인사위원회 심의를 거쳐 총장의 최종 승인 후 실행 하고, 연구년 기간 중의 보수는 편제정원 내 학과의 최근 3년 동안 평균 재학률과 같은 비율의 연봉월액을 지급 하고, 연구결과 실적물은 별도로 위촉하는 심사위원의 평가를 받아야 하며, 연구결과보고서 및 연구실적물을 기한 내에 제출하지 아니하거나 평가결과에 따른 조치를 기한 내에 이행하지 않을 경우에는 연구년 기간 중 지급받은 보수총액의 10% 범위에 상당하는 금액을 반환하여야 하고, 반환금액 산정 및 반환절차 등에 대해서는 교원인사위원회의 심의를 거쳐 총장이 별도로 정한다고 되어 있는데도,","- 경동대학교는 2018. 2. 9. ’18학년도 연구년 교원을 추가 승인하면서 D (R 배우자) 가 ’18학년도 연구년 시행 기본 계획 (’17.8.23., 연구년 기간 : 6개월) 과 다르게 연구년 기간을 1년 (’18. 3. 1. ∼ ’19. 2. 29) 으로 신청하였는데도 연구년을 승인 한 사실이 있음 < ①, ③ 관련> ◦경징계(2명) < ① 관련> ◦경고(4명) < ② 관련> ◦경고(1명) ◦시정(회수) - 연구년제 교수 보 수를 지급하면서 감액 조정 없이 지급한 보수 합계 71,012,940원을 관 련자들로부터 회수 하여 교비회계에 세입조치하기 바람 <...","【 붙임1 】 연구년 교원 보수 과다 지급 현황 □ 2017학년도 (단위 : 원, 보수월액 : 성과금 제외) 연번 학과 직급 성명 연구년 기간 보 수월 액기 준 (전 년보 수월 액 ) 해당학과의 최근 3년 평균 재학률 실제 지급 보수 월액 <‘편제정원 외’ 재학률 적용> 정상 지급 보수 월액 <‘편제정원 내’ 재학률 적용> 과다 지급 보수 월액 편 제 정 원내 편 제 정 원외 1학기 2학기 연액 1학기 2학기 연액 1학기 2학기 연액 1 ‘ㄹ’학과 - S 2017.03.01.~2018.02.28. (1년) 6,289,410 92.42% 102.26% 6,289,410 6,289,410 75,472,920 5,812,670 5,812,670 69,752,040 476,740 476,740 5,720,880 2 - - - - 6,608,690…"
12,"교원 신규임용 절차 미준수 등 ◦ 경동대학교 교원 인사관리 규정 제12조 및 제13조에 따르면 교원의 신규채용은 공개채용을 원칙으로 하고, 기초심사, 전공심사, 면접심사의 단계를 거쳐 실시하며, 경동대학교 석좌교수 임용 규정 제4조 및 제6조에 따르면 석좌교수는 각 학부(과)장의 추천에 의하여 교원 인사위원회의 동의와 총장의 제청을 거쳐 이사회의 의결에 따라 임용한다고 되어 있는데도,","- 학교법인 경동대학교 및 경동대학교는 2014. 2. 9. 국제 협력분야 ‘ㅁ’ 초빙을 위한 모집을 공고하면서 적격자는 1차 서류심사 (기초심사 및 전공심사) 및 2차 면접심사에 따라 선발한다고 안내하였는데도 R 지시에 따라 위 분야 ‘ㅁ’ 초빙을 위한 서류 및 면접심사, 교원인사 위원회 심의 절차 없이 2014. 4. 8. R의 임용 제청만으로 U를 ‘ㅁ’로 임용한 사실이 있고, - 나아가, 2015. 1. 28. 채용공고, 기초심사, 전공심사 및 면접심사 없이 제청하고, 위 U를 ‘ㅂ’학과 전임교원 으로 신규 임용한 사실이 있음 【석좌교수 임용 등에 관한 사항】...","【 학교법인 경동대학교】 < ①, ② 관련>; 경고(1명) 【 경동대학교 】 < ①, ② 관련>; 중징계(1명) < ① 관련>; 경고(1명); 통보(문책 경징계) (1명) < ② 관련>; 경고(2명) 【 붙임 】 학과장 추천 없이 임용한 석좌교수 현황 연 번 소속학과 성명 임용일 학과추천 인사위원회 임용제청 이사회 1 ‘ ㅂ ’학과 U 2018. 9. 1. - 2018. 6. 12. 2018. 6. 21. 2018. 6. 22. 2 - - 2017. 9. 1. - 2017. 8. 8. 2017. 8. 9. 2017. 8. 25. 3 - - 2019. 3. 1. - 2019. 1. 29. 2019. 2. 8. 2019. 2. 12. 감사결과 처분서 기관명 : 경동대학교"
13,"R 및 U 복무관리 부당 ◦ 고등교육법 제15조 제1항 및 학교법인 경동대학교 정관 제79조에 따르면 총장은 교무(校務)를 총괄하고, 소속 교직원을 감독하며, 학생을 지도하도록 되어 있고, 사립학교법 제55조에 따라 준용되는 국가공무원법 제56조에 따르면 모든 공무원은 법령을 준수하며 성실히 직무를 수행하여야 하며, 경동대학교 복무규정 제4조, 제11조, 제14조, 제17조 및 제21조에 따르면 교직원은 법령 및 제 규정을 준수하여 근무기강을 확립하고 질서를 존중하여야 하며, 소속 상관의 허가가 없으면 직장을 이탈하지 못하고, 교직원의 근무시간은 월요일부터 금요일까지의 09:00부터 18:00까지로 하며, 교직원이 출장할 때에는 출장계에 의하여 총장의 재가를 얻어야 하고, 교직원 휴가는 연가, 병가, 공가, 특별휴가로 구분 하고 있는데도,","- 경동대학교 R은 2017. 4. 14.부터 2017. 4. 26.까지 출장 등 복무조치 없이 근무지를 이탈하여 미국에 체류하는 등【붙임1】“R 무단 근무지 이탈 해외체류 현황”과 같이 2017. 3월부터 2020. 9월까지 총 16회, 349일 동안 근무지를 무단으로 이탈하여 미국 등 해외에 체류한 사실이 있고, - 특히, R은 “해외 취업처 개발 및 생존·발전방안 도출” 이유로 2018. 5. 17.부터 8. 26.까지 무려 100박 101일 동안 국외 (미국) 출장계를 내고서도 출장 종료일로부터 35일이 지난 2018. 9. 30.에서야 근무지로 복귀한 사실이...",【 붙임1 】 R 무단 근무지 이탈 해외체류 현황 연 번 출국일 입국일 체류국가 일수 비고 1 2017.04.14. 2017.04.26. 미국 13일 2 2017.05.06. 2017.06.05. - 31일 3 2017.06.22. 2017.06.26. - 5일 4 2017.08.21. 2017.08.25. - 5일 5 2017.12.09. 2018.03.07. - 89일 6 2018.03.24. 2018.04.07. - 15일 7 2018.05.17. 2018.09.30. 미국 35일 136일 중 출장으로 소명한 101일(2018.5.17.∼2018.8.26.) 제외 8 2019.05.22. 2019.06.26. - 36일 9 2019.08.23. 2019.08.26. - 4일 10 2019.09.07. 2019.09.16. - 10일 1…
