연번,지적사항,주요내용(요약),처분요구
1,"법인자금 부당 투자 ㅇ ｢ 사립학교법 ｣ 제19조 제1항 및 제27조에 따라 준용되는 ｢ 민법 ｣ 제61조에 따르면 이사장은 이 법과 정관에 규정된 직무를 행하며 기타 학교법인 내부의 사무를 통할하고, 이사는 선량한 관리자의 주의로 그 직무를 행하여야 하고, ｢ 사학기관 재무 ․ 회계 규칙 ｣ 제4조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영 하여야 하며, 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니되고, ｢ 사립학교법 ｣ 제16조 제1항에 따르면 학교법인의 예산 ㆍ 결산 ㆍ 차입금 및 재산의 취득 ㆍ 처분과 관리에 관한 사항, 수익사업에 관한 사항은 이사회의 심의 ․ 의결사항으로 되어 있는데도, - 학교법인 청운학원 B (2015.7.13. ‘A’으로 개명)은 2014. 6. 12. 이사회 심의·의결 없이 자신이 대표이사로 있는 ㈜","- 학교법인 청운학원 B (2015.7.13. ‘A’으로 개명)은 2014. 6. 12. 이사회 심의·의결 없이 자신이 대표이사로 있는 ㈜○○ * 과 자금투자약정을 체결하고 법인자금 2,000,000천원을 위 업체에 투자하는 등【붙임】“이사회 미심의 법인자금 투자 현황”과 같이 2014. 6.부터 2018. 6까지 매년 이사회 심의·의결 없이 적게는 795,000천원 많게는 3,000,000천원의 법인자금을 위 ㈜○○ (’15.10.13. ‘ ㈜□□ ’로 상호변경) 에 투자 하였고, * ’14. 5. 30. B이 설립(업태 : 서비스, 건설업, 도소매업) ’10. 1...","(‘14. 9. 11. B로부터 회수) ※ 위 35억 50만원에 대해 ♤♤지검에서 진정내사 사건으로 B를 수사 하였으나, 2018. 7. 17. 혐의없음(증거불충분) 처리 <수사결과 확인된 사실> 1) 30억원 관련 - 이사회 의결을 거치지 않고 법인 수익용기본재산인 △△ 임대보증 금과 보통예금 합계 30억원을 ㈜; ; 에 투자 - 투자된 30억은 B의 사위인 D (전 ◀과 조교수, 재직기간 ’13.3.1.～’17.2.28. ‘16년 ◆장 겸직) 이 설립한 ▷▷㈜의 금수입 사업에 투자되었으나. 위 ▷▷㈜는 거래처로부터 사기를 당한 것으로 보임 2) 5억 50만원 관련 - 이사회 의결을 거치지 않고 법인자금 5억 50만원을 ㈜; ; 로 송 금하여 일본기업인 ▽▽㈜의 비상장 주식 매입 【붙임】 이사회 미심의 법인자금 투자 현황 (단위 : 천원)…"
2,"교육용기본재산 용도변경 부적정 ㅇ ｢ 사립학교법 ｣ 제28조 및 제29조 제6항에는 학교법인이 그 기본재산을 매도 ․ 증여 ․ 교환 또는 용도변경하거나 담보에 제공하고자 할 때 또는 의무의 부담이나 권리의 포기를 하고자 할 때에는 관할청의 허가를 받아야 하고, 교비회계에 속하는 수입이나 재산은 다른 회계에 전출 하거나 대여할 수 없다고 되어 있으며, 2017. 4. 17. 교육부 전문대학정책과에서 ‘사립 전문대학(법인) 기본 재산 관리 안내서’를 통해 동일 학교법인 내 개별 학교 간 교육용 기본재산 용도변경과 관련하여 학교법인이 설치 ･ 경영하는 학교의 교육용 기본재산 사용주체 변경*은 ｢ 사립학교법 ｣ 제28조에 따른 용도변경에 해당 되므로 관할청의 허가를 받도록 안내하였는데도, * 예시) 학교법인 ◁◁이 설치 경영하는 ♡♡의 교육용 기본재산과 ◇◇의 교육용 기본재산 사용 주체 변경 - 학교법인 청운학원 및 대전보건대학교는 2018. 2. 28. ♧♧ 교육지원청으로부터 대전보건대학교 부속유치원 1) 이전 인가를 받은 다음, 2018. 3. 2. 교육부로부터 교육용기본 재산 용도변경 허가를 받지 아니하고 대전보건대학교","- 학교법인 청운학원 및 대전보건대학교는 2018. 2. 28. ♧♧ 교육지원청으로부터 대전보건대학교 부속유치원 1) 이전 인가를 받은 다음, 2018. 3. 2. 교육부로부터 교육용기본 재산 용도변경 허가를 받지 아니하고 대전보건대학교 ○ 관 (4동) 1, 2층 (1,095 ㎡ ) 에 있었던 위 유치원을 □ 관 (21동) 1, 2, 3층 (1,413 ㎡ ) 으로 이전하고, 기존에 유치원에서 사용하던 공간은 2019. 8. 경부터 2020. 4. 감사일 현재 까지 대학 창업보육센터로 사용하고 있으며, 1) 학교법인 청운학원이 ’83년에 설립하여 운영중이며, 명칭과 달...","2) (규모) 지상 6층, 연면적 2,781㎡ (1～3층) 부속유치원, (4～6층) 유아교육과 실습실, 강의실 등 3) 대학에서 유치원 면적비율 등을 기준으로 산정 연번 공종 공사비 (천원) 비 고 1 건축,토목,기계공사 1,264,726 2 냉난방설치공사 82,340 냉난방기 구입비 포함 3 전기공사 95,365 4 통신공사 245,499 5 소방공사 102,336 6 가스설비공사 2,640 유치원 주방 7 인테리어공사 426,450 유치원 합 계 2,219,357 ※ (건물 전체면적) 2,781㎡, (유치원 면적) 1,413㎡ 【붙임】 □관 신축공사 관련비용 교비회계 집행 현황 (단위: 천원) 연 번 집행일 적 요 집행액 지급처 회계구분 비고 1 2017.02.27. ◙◙ 신축공사 건축 설계용역비 81,010 - 비등록금 회계 설계비 2…"
3,"개인 통신비용 법인회계 집행 ㅇ ｢ 사학기관 재무 ․ 회계 규칙 ｣ 제4조 및 제21조에 따르면 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며, 국가의 정책과 사회의 공공기관으로서의 의무와 그 설립목적에 반하여서는 아니되고, 법인의 업무에 속하는 회계의 세출예산은 목적 외에 이를 사용하지 못한다고 되어 있는데도, - 학교법인 청운학원은 2016. 3. 21. A의 개인명의로 가입된 휴대전화 (갤럭시 노트4) 2월분 사용요금 105,590원을 법인회 계에서 집행하는 등","- 학교법인 청운학원은 2016. 3. 21. A의 개인명의로 가입된 휴대전화 (갤럭시 노트4) 2월분 사용요금 105,590원을 법인회 계에서 집행하는 등 【 붙임 】 “개인명의 휴대전화 요금 법인회계 집행 현황”과 같이 2016. 3.부터 2020. 2.까지 A 등 법인 임직원 3명의 개인명의 휴대전화 요금 (기기 할부금 포함) 합계 11,078,240원을 법인회계에서 집행한","ㅇ경고(3명) ㅇ시정(회수) - 법 인 회 계 에 서 집 행 한 개 인 명 의휴 대 전 화요 금 합계 11,078,240원을 관 련 자 들 로 부 터 회 수하 여 법 인회 계 에 세입처리하기 바람 【붙임】 개인명의 휴대전화 요금 법인회계 집행 현황 (단위: 원) 연번 집행일 대상자 집행액 계정과목 기기명 직위 성명 1 2016.03.21. A 39,770 통신비 2G 폴더폰 A 105,590 통신비 갤럭시 노트4 A 113,460 통신비 아이폰 6+ 2 2016.04.21. A 42,960 통신비 2G 폴더폰 A 113,460 통신비 아이폰 6+ A 105,590 통신비 갤럭시 노트4 3 2016.05.23. A 40,580 통신비 2G 폴더폰 A 105,590 통신비 갤럭시 노트4 A 113,460 통신비 아이폰 6+ 4 2016.06.2…"
4,"유류비 등 집행 부당 ㅇ 사립학교법 제29조 제6항에는 교비회계에 속하는 수입이나 재산은 다른 회계에 전출하거나 대여할 수 없다고 되어 있고, 사학기관 재무․회계 규칙 제4조 및 제21조 제1항에는 법인과 학교의 재무와 회계는 건전하게 운영하여야 하며, 국가의 정책과 사회의 공공 기 관으로 서의 의무 와 그 설 립목적 에 반 하여서 는 아니 되고, 법인의 업무에 속하는 회계의 세출예산은 목적 외에 이를 사용하지 못한다고 되어 있고, 사학 기관 재무·회계 규칙에 대한 특례규칙 제15조 제2호에는 회계처리는 신뢰할 수 있도록 객관적인 자료와 증거에 의하여 공정하게 처리하여야 한다고 되어 있는데도,","- 학교법인 청운학원은 2016. 3. 1. 업무관련성 확인 및 운행일지 등 증빙 없이 법인회계에서 A 차량* 주유비로 64,000원을 집행하는 등 【붙임1】 “A 차량 주유비 법인 회계 집행 부적정 현황”과 같이 2016. 3.부터 2020. 3. 까지 업무관련성 확인 및 운행일지 등 증빙 없이 법인회 계에서 A 차량 주유비 합계 31,175,540원 (개인차량 주유비 1, 759,040원** 포함) 을 집행하였고, · 특히, 위 집행내역 중 총 83건합계 5,930,000원은 A가 해외 체류 중인 기간에 사용된 사실이 있음 * <개인차량> 현대 EQ900 / ’1...","전담한 F에 대 한 인건비 (‘19. 9. ~ ’20.4.) 합계 2,400,000원을 관련자로부터 회수 하여 법인회계에 세입처리하기 바람 【대전보건대학교】 ㅇ경고(3명) ㅇ시정(회수) - A 개인차량 운 전 을 전담한 F에 대 한 인건비 (‘19. 9. ~ ’20.4.) 합계 38,213,050원을 관련자로부터 회수 하여 교비회계에 세입처리하기 바람 【붙임 1】 A 차량 주유비 법인회계 집행 부적정 현황 (단위: 원) 연 번 사용일 사용액 가맹점명 A 해외체류 중 사용 건 차량구분 1 2016.03.01. 64,000 - 업무용 2 2016.03.03. 75,000 - 업무용 3 2016.03.10. 71,000 - 업무용 4 2016.03.10. 50,000 - 업무용 5 2016.03.17. 61,000 - o 업무용 6 2016.03…"
5,"교육용기본재산 법인 수익사업체 사용 ㅇ 사립학교법 제28조 제1항에는 학교법인이 그 기본 재산을 매도·증여·교환 또는 용도변경하거나 담보에 제공하고자 할 때 또는 의무의 부담이나 권리의 포기를 하고자 할 때에는 관할청의 허가를 받아야 한다고 되어 있고, 같은 법 시행령 제4조 제2항 및 제5조 제1항 제1호에는 제1항 제3호 * 의 재산목록은 기본재산과 보통 재산으로 구분하여 작성하되, 기본재산은 교육용 기본 재산과 수익용 기본재산으로 구분하여야 하고, 학교 법인의 재산 중 부동산은 기본재산으로 한다고 되어 있는데도, * 제4조(학교법인의 설립허가신청)",- 대전보건대학교는 2016. 3. 이전 미상일로부터 2020. 4. 감사일 현재까지 교육용 기본재산인 대전 중구 대종로 소재 ●● 4층 일부 (14.03㎡) 를 법인 수익사업체 ‘☆☆’ 사무실로 사용하게 한,ㅇ기관경고 ㅇ통보 - 법인 수익사업체 ☆☆ 가 사용하고 있는; ; 공간은 교육용으로 사용 하기 바람 <별도조치> ㅇ통보(전 문 대 학 정 책 과 ) 감사결과 처분서 기관명 : 대전보건대학교
6,"강사 특별채용 절차 부적정 ㅇ 대전보건대학교 강사 신규공개채용 전형규정 제4조 제2항에 따르면 채용은 공개채용과 특별채용으로 구분 하며, 공개채용 하는 것을 원칙으로 하되, 학기 중에 발생한 교원의 6개월 미만의 병가 ・ 출산휴가 ・ 휴직 ・ 파견 ・ 징계 ・ 연구년(6개월 이하) 또는 교원의 직위해제 ・ 퇴직 ・ 면직으로 학기 잔여기간에 대하여 긴급하게 대체할 강사가 필요한 경우, 산업체를 원 소속기관으로 하여 3년 이상 근무하고 있는 정규직 재직자를 임용할 경우, 학기 개시일 이전 30일 이내 임용예정자가 임용을 포기하여 긴급히 채용이 필요한 경우에는 특별채용을 할 수 있고, 같은 규정 제25조 따르면 특별채용 사유에 해당하는 경우 해당학과 또는 교양교과목 담당 부서는 강사 특별채용 추천서 에 소속 전임교원 전원의 서명을 받아 교무처장에게 추천하고 교무처장은 자격을 심사 하고, 교원인사위원회의 심의를 거쳐 학교의 장이 임용 하도록 되어 있는데도, - 대전보건대학교는 2019. 9. 9. △과에서 학기 중 의원 면직한 강사 G 후임으로 H를 특별채용대상자로 추천하 면서 학과 소속 전임교원 6명 중 부교수 I를 제외한 5명에 게만 서명 받아 추천서를 제출하였음에도 자격을 심 사하여 교원인사위원회에 심의안건으로 제출하는 등",- 대전보건대학교는 2019. 9. 9. △과에서 학기 중 의원 면직한 강사 G 후임으로 H를 특별채용대상자로 추천하 면서 학과 소속 전임교원 6명 중 부교수 I를 제외한 5명에 게만 서명 받아 추천서를 제출하였음에도 자격을 심 사하여 교원인사위원회에 심의안건으로 제출하는 등 【붙임】 “강사 특별채용 부적정 현황”과 같이 2019학년 도 2학기부터 2020학년도 1학기 까지 위 해당학과에서 제출한 강사 특별채용 대상자 2명의 추천서에 일부 전 임교원의 서명이 누락되어 있는데도 그대로 심사를 진행 하여 강사로 임용한,"ㅇ경고(6명) 【붙임】 강사 특별채용 부적정 현황 연 번 연도- 학기 소속 성명 사유 추천일자 전임교원 추천 서명여부 교원인사위원 회 심의일자 발령일자 1 2019 H 강사 G (의원면직, 2019. 9. 5.) 2019.9.9. 부교수 L; 2019. 9. 10. 2019.9.10. 교수 M; 부교수 N; 조교수 O; 조교수 P; 부교수 I × 2 2020 J 조교수 K (수술 및 병가, 2020. 3. 23.) 2020.3.19. 조교수 Q; 2020. 3. 24. 2020.3.24. 조교수 K; 조교수 R × 교수 S × 감사결과 처분서 기관명 : 대전보건대학교"
7,"교원 겸직허가 지연 신청 ㅇ 사립학교법 제55조 제1항에 따르면 사립학교 교원의 복무는 국․공립학교의 교원에 관한 규정을 준용하고, 국가공무원법 제64조 제1항에는 공무원은 소속 기관장의 허가 없이 다른 직무를 겸직할 수 없으며, 대전보건 대학교 복무규정 제40조에는 교직원은 영리를 목적 으로 하지 않은 업무로서 담당직무 수행에 지장이 없는 다른 업무를 하더라도 이사장의 허가 없이는 이를 겸할 수 없다고 되어 있는데도, - 대전보건대학교 △과 부교수 L은 2017. 7. 27.부터 2020. 7. 26.까지 ■■ 비상임이사를 겸직하고도 임기 시작일 로부터 315일이 지난 2018. 6. 7.에서야 겸직허가를 신청하는 등","- 대전보건대학교 △과 부교수 L은 2017. 7. 27.부터 2020. 7. 26.까지 ■■ 비상임이사를 겸직하고도 임기 시작일 로부터 315일이 지난 2018. 6. 7.에서야 겸직허가를 신청하는 등【붙임】“교원 겸직허가 지연 신청 현황”과 같이 2018. 6.부터 2020. 4. 감사일 현재까지 위 L 등 교원 13명은 겸직 임기 시작일로부터 짧게는 87일, 길게는 922일을 도과하여 겸직허가를 신청한",ㅇ주의(13명) 【붙임】 교원 겸직허가 지연 신청 현황 연번 연도 소속 직급 성명 겸직신청 현황 교무인사 위원회 개최일자 발령일자 도과 일수 내용 기간 신청 일자 1 2018 - 부교수 - - 2017.07.27. ~ 2020.07.26. 2018 07 2018 16 2018 10 315일 2 - 부교수 - - 2016.02.29. ~ 2019.02.28 2018 11 2018 16 2018 10 833일 3 2019 - 조교수 - - 2018.03.01. ~ 2020.02.28. 2018 27 2018 06 2019 01 271일 - 2018.01.02. ~ 2019.12.31. 329일 4 - 조교수 - - 2016.07.01. ~ 계속 2019 09 2019 22 2019 01 922일 5 - 교수 - - 2019.01.01. ~ 20…
8,교원 승진 및 재임용 평가 부적정 ㅇ 사립학교법 제53조의5에 따르면 학교의 장이 아닌 대학교육기관 교원의 임용 (같은 법 제2조 임용에는 “승진”도 포함) 에 관하여는,"- 대전보건대학교는 2017. 8. ▽과 조교수 T에 대한 2017. 9. 1.자 재임용 여부를 심사하면서 외부에서 유치한 실적(3,380천원, 2.11점) 외에 본인이 학교측에 기부한 5,240천원도 ‘발전기금 및 장학금 유치실적’으로 인정 (2.89점)하여 해당 평가항목 [4.1 발전기금 및 장학금 유 치실적(5점)]에서 만점인 5점을 부여하는 등【붙임】 “교원 승진 및 재임용 평가 부적정 현황”과 같이 2017학년도 1학기부터 2020학년도 1학기까지 위 T 등 교원 11명에 대한 승진 및 재임용 평가시 심사대상자 본인의 기부금액도 발전기금 및 장학금 유치실적으...","ㅇ경고(6명) ㅇ통보 - 교 원승 진및재 임 용 평 가 시 관 련 법 령 의 취 지 에 따 라 객 관 적 이 고 공 정 한 심 사 가 될 수 있도록 운영 하기 바람 【붙임】 교원 승진 및 재임용 평가 부적정 현황 연번 연도 구분 소속 직급 성명 4.1 발전기금 및 장학금 유치실적 (5점) 유치 실적 본인 실적 총 인정 점수 (a+b) 유치금액 (원) 유치 인원 산정점수 인정점수 (a) 기부금액 (원) 산정점 수 인정점 수 (b) 1 2017-1 재임용 (11) - 조 교 수 - 45,662,000 8 28.54 5.00 1,250,000 6.25 - 5.00 2 - 조 교 수 - 38,989,000 5 38.99 5.00 1,080,000 5.40 - 5.00 3 - 조 교 수 - 164,140,000 9 165.68 5.00 - - - 5…"
9,교원 채용 심사기준 공고 누락 ㅇ 사립학교법 제53조의5에 따르면 학교의 장이 아닌 대학교육기관 교원의 임용에 관하여는,"- 대전보건대학교는 2017. 6. 19.자 “2017학년도 2학기 대전보건대학교 교수 초빙계획”을 공고하면서 채용분야, 채용인원, 지원자격은 명시하면서 심사기준은 누락하는 등 【붙임】“교원채용 공고 부적정 현황”과 같이 2017. 6. 19.부터 2020. 4. 감사일 현재까지 총 7건의 교원채용 계획을 공고하면서 심사기준을 누락한","ㅇ주의(6명) 【붙임】 교원 채용공고 부적정 현황 연번 연도 공고일 공고명 접수기간 채용분야 채용 인원 지원자격 심사 기준 1 2017 2017.6.19 2017학년도 2학기 대전보건대학교 교수 초빙 공고 2017.06.19. ~ 2017.07.03. 유아교육과 유아교육 0명 • 전공분야 관련 석사학위 이상 취득자 • 유치원 2급 정교사 자격증 소지자 • 유치원 교사 경력 3년 이상 未공고 ◁과 방사선학 0명 • 전공분야 관련 석사학위 이상 취득자 • 방사선사 면허증 소지자 • 임상경력 10년 이상 우대 응급구조과 의학/간호학/ 응급구조학 0명 • 전공분야 관련 석사학위 이상 취득자 • 전공분야 관련 면허증 소지자 • 임상경력 2년 이상(병원급이상, 소방) 우대 인문교양학부 디자인/광고학 /예술기획 1명 • 전공분야 관련 석사학위 이상 취득…"
10,복무 미처리 공무외 국외여행 ㅇ,- 대전보건대학교 ◁과 부교수 U는 2017. 4. 22.부터 2019. 4. 26까지 복무처리 없이 공무외 국외여행을 실시하는 등 【붙임】 “복무 미처리 공무외 국외여행 현황” 과 같이 2017. 4.부터 2020. 4. 감사일 현재까지 위 U 등 교원 10명은 총 19회에 걸쳐 총장의 승인을 득하지 아니하고 공무외 국외여행을 실시한,ㅇ경고(1명) ㅇ주의(9명) 【 별지 】 “주의” 처분대상자 명단 연번 소속 직위(급) 성명 비고 1 - 부교수 교수 교수 교수 부교수 조교수 교수 부교수 조교수 - 【붙임】 복무 미처리 공무외 국외여행 현황 연번 소속 직급 성명 출입국일자 방문국가 비고 구분 출국 입국 1 - 부교수 - 학기중 2017 22(토) 2017 26(수) 태국 5일 2 - 교수 - 학기중 2017 04(목) 2017 07(일) 홍콩 4일 3 - 교수 - 학기중 2017 11(목) 2017 14(일) 베트남 4일 4 학기중 2017 21(수) 2017 26(월) 베트남 6일 5 학기중 2018.12.08(토) 2018.12.12(수) 베트남 5일 6 - 교수 - 학기중 2017 03(금) 2017 05(일) 러시아 3일 7 - 부교수 - 학기중 2019 20(수)…
11,임용 결격사유 조회 등 미실시 ◦,"- 대전보건대학교는 2017. 3. 1. ◇과 조교수 V를 신규 임용하면서 결격사유 조회를 하지 아니하고 학교법인 청운학원에 임용 제청하는 등【붙임】“결격사유 조회 등 미실시 교직원 임용 현황”과 같이 2017. 3. 1.부터 2020. 4. 감사일 현재까지 위 조교수 V 등 35명을 교 직원으로 신규 임용하면서 결격사유 조회를 하지 아니한 사실이 있으며, 이 중 ♡팀에 신규 채용된 W (2018.11.1.임용) 및 X (2019.3.1.임용) 에 대하여는 성범죄경력도 확인하지 아니한",주의(5명); 통보 - 결격사유 조회 및 성범죄 경력 확인 미실시자에 대해 결격사유 조회 및 성범죄 경 력 을 확 인 하 고 그 결 과 에 따 라 조치하기 바람 【 붙임 】 결격사유 조회 등 미실시 교직원 임용 현황 1. 교원(25명) 2. 직원(10명) 연번 소속 직급 성명 임용일 성범죄경력 확인여부 결격사유 조회여부 요청일 회신일 요청일 회신일 1 - 조교수 - 2017.03.01. - - X X 2 - 조교수 - 2017.03.01. - - X X 3 - 조교수 - 2017.03.01. - - X X 4 - 조교수 - 2017.03.01. - - X X 5 - 조교수 - 2017.03.01. - - X X 6 - 조교수 - 2017.03.01. - - X X 7 - 조교수 - 2017.09.01. - - X X 8 - 조교수 - 201…
12,교원 임용사실 관할청 미보고 ◦,"- 학교법인 청운학원은 2018. 1. 31. 대전보건대학교 ♤과 교수 겸 부속유치원 Y를 당연퇴직사유 * 로 퇴직 처리하고 2018. 2. 1. 부속유치원 원장으로 신규 임 용하였음에도, 관할청인 ▲▲교육청에 임용사실을 보고하지 아니한","* 1999. 4. 28.자 ▶▶법원 판결(징역 8월, 집행유예 2년) 확정 ㅇ경고(2명) 감사결과 처분서 기관명 : 대전보건대학교"
13,직원채용시 학력 ‧ 연령 차별 및 노사협의회 운영 부적정 ◦,- 대전보건대학교는 2017. 3. 7. 교무지원팀 계약직 직원 채용계획을 공고하면서 지원 자격을 전문학사 이상으로 제한하는 등【붙임1】“직원 채용공고 부적정 현황”과 같이 2017. 3. 7.부터 2020. 4. 감사일 현재까지 총 28건의 직원 채용공고를 하면서 합리적인 이유 없이 지원 자격을 전문학사 또는 학사 이상으로 제한한 사실이 있음 【연령차별에 관한 사항】--------------------------------- ② - 대전보건대학교는 2018. 2. 1. 교무처 직원(무기계약직)을 공개채용 하면서 서류전형 평가위원에게 특정연령 (1983년생) 이상의...,【 붙임1 】 직원 채용공고 부적정 현황 연번 채용공고일 모집분야 채용예정인원(명) 지원자격 비고 1 2017.03.07. - 1 전문학사 - 1 전문학사 - 1 학사 2 2017.06.16. - 2 전문학사 - 1 전문학사 3 2017.08.02. - 1 전문학사 4 2017.09.14. - 2 전문학사 - 1 전문학사 5 2017.10.16. - 1 전문학사 - 1 전문학사 - 1 전문학사 6 2017.11.28. - 1 학사 - 1 전문학사 7 2018.01.08. - 1 학사 - 1 학사 8 2018.01.12. - 1 전문학사 9 2018.01.29. - 1 학사 10 2018.02.01. - 2 학사 11 2018.02.06. - 1 학사 12 2018.03.27. - 1 학사 13 2018.04.12. - 1 전문학사 14 20…
14,직원 해외 파견 ‧ 연수 부적정 ◦,"- 대전보건대학교는 2017. 3. 10. 직원 파견 연수 관련 자체 규정을 마련하거나 선발계획수립 등을 통한 별도의 선발절차를 거치지 아니하고 파견 연수 대상 기관 (▼▼) 과 체결한 MOU * 만을 근거로 하여 ♧처 직원 AN (2014.3.1.임용) 을 해외 파견 연수 (기관: ◀◀, 기간: ‘17.4.7.~’18.4.6.) 대상자로 선정하여 학교법인 청운학원에 승인 제청하고 이사장은 이를 그대로 승인한 사실이 있으며, * 주요내용 : 대학 간 교직원 교육 정보교환, 학생교류의 방면 에서 우호협력체계 구축, 양 대학 교직원들의 정기적 혹은 부정기적 교류 제도화...","감사결과 처분서 기관명 : 학교법인 청운학원, 대전보건대학교"
15,A 전담비서 인건비 교비회계 집행 등,"- 학교법인 청운학원 및 대전보건대학교는 2017. 3. ☆처 AM에게 겸직발령 없이 학교법인 A * 의 비서 업무를 전담 하게 하고 2017년 3월 급여 3,268,090원을 교비회계에서 지급하는 등 【 붙임 】 “A 전담비서 인건비 교비회계 집행 현황”과 같이 2017. 3.부터 2020. 3.까지 위 AM을 학교법인 A의 비서 업무를 전담하게 하고 급여 합계 131,583,180원을 교비회계에서 지급한 사실이 있음 * 비상근 이사로 ◆◆ 병원장 【직원복무관리 관련】- ② ㅇ 대전보건대 복무규정 제3조, 제6조, 제12조 및 제 37조에 따르면 교직원은 법령, 규...","* 대전광역시 동구 충정로 【붙임】 A 전담비서 인건비 교비회계 집행 현황 (단위：원) 연번 인건비 지급일 급여 급식수당 가족수당 기타수당 계 1 2017 24 3,098,090 130,000 40,000 3,268,090 2 2017 25 3,098,090 130,000 40,000 3,268,090 3 2017 25 3,098,090 130,000 40,000 3,268,090 4 2017 23 3,098,090 130,000 40,000 3,268,090 5 2017 25 3,098,090 130,000 40,000 3,268,090 6 2017 26 47,360 47,360 7 2017 25 3,098,090 130,000 40,000 3,268,090 8 2017 22 3,098,090 130,000 40,000 3,268,090…"
16,"사학연금 법인부담금 등록금회계 집행 부적정 ㅇ 사립학교교직원 연금법 제47조 제1항에는 법인부 담금은 학교경영기관이 부담하되, 학교경영기관이 그 학교에 필요한 법인부담금의 전부 또는 일부를 부담할 수 없을 때에는 그 부족액을 학교에서 부담하게 할 수 있다고 되어 있고, 사립학교법 제16조 제1항 및 제 29조 제2항에는 학교법인의 예산ㆍ결산은 이사회의 심의ㆍ의결사항이고, 교비회계는 등록금회계와 비등록금 회계로 구분하도록 되어 있으며, 2015 ~ 2018회계연도에 교육부에서 학교법인 및 사립대학에 예·결산 유의사항을 통보하면서 교비회계에서 집행하는 사학연금 법인부 담금은 비등록금회계에서 우선 편성 지출하도록 하였고, 학교법인 청운학원에 대해 사학연금 법인부담금 학교 부담 승인 통보를 하면서 교비회계에서 부담하는 법인 부담금은 비등록금회계에서 우선 지출하도록 하였는데도, - 대전보건대학교는 2016회계연도 사학연금 법인부담금 을 비등록금회계에서 우선 집행할 여력이 있었음에도 (임의적립 329,867천원) 사학연금 법인부담금 412,088천원을 등록금회계에서 집행하는 것으로 예산 편성한 후, 실제 409,392천원을 등록금회계에서 집행하는 등","- 대전보건대학교는 2016회계연도 사학연금 법인부담금 을 비등록금회계에서 우선 집행할 여력이 있었음에도 (임의적립 329,867천원) 사학연금 법인부담금 412,088천원을 등록금회계에서 집행하는 것으로 예산 편성한 후, 실제 409,392천원을 등록금회계에서 집행하는 등【붙임】 “사학연금 법인부담금 등록금회계 집행 현황”과 같이 2016회계연도부터 2018회계연도에 비등록금회계에서 우선 집행할 여력이 있었음에도 법인부담금 합계 1,406,888천원을 등록금회계에서 집행하는 것으로 예산 편성한 후, 실제 2016회계연도부터 2018회계연도에 사학연금 법인부담금 합계...","【 학 교 법 인청 운 학 원 】; 경고(1명) 【대전보건대학교】; 경고(5명) 【붙임】 사학연금 법인부담금 등록금회계 집행 현황 (단위 : 천원) 회 계 연 도 예산 결산 법인회계 법정부담 전입금 사학연금법인부담금 납부 비등록금회계 운영 사학연금법인부담금 실제 납부 비등록금회계 운영 납부 총액 등록금 회계 비등록금 회계 기타 이월금 임의적립 납부 총액 등록금 회계 비등록금 회계 기타 이월금 임의적립 2016 862,088 412,088 450,000 0 329,867 859,392 409,392 450,000 606,460 167,267 450,000 2017 969,993 484,800 450,000 0 700,000 925,073 475,073 450,000 768,778 324,563 450,000 2018 960,000 510,00…"
